school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,F,16,R,LE3,A,3,4,services,services,home,mother,1,3,2,no,yes,yes,no,yes,yes,yes,no,3,3,3,2,4,4,23,7,7,6
MS,F,17,U,GT3,T,4,3,health,other,reputation,mother,1,4,0,no,yes,no,no,yes,yes,yes,no,3,4,4,2,2,4,7,17,16,16
GP,M,17,U,GT3,T,3,2,teacher,at_home,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,4,1,1,2,3,18,6,5,8
GP,F,17,U,GT3,T,3,3,other,at_home,course,mother,1,3,0,no,yes,yes,no,yes,yes,yes,no,3,1,2,4,2,5,29,14,14,15
GP,F,15,U,GT3,T,3,3,at_home,services,reputation,mother,1,3,1,yes,yes,yes,yes,yes,yes,yes,no,4,4,2,2,3,5,21,15,15,15
GP,M,19,U,LE3,T,2,1,other,teacher,other,mother,2,2,0,no,no,no,yes,no,yes,yes,no,3,4,4,4,1,3,8,0,2,2
GP,F,20,U,GT3,T,2,2,services,teacher,other,other,2,1,0,no,yes,yes,no,yes,no,yes,yes,4,3,3,1,5,5,3,11,10,10
MS,F,17,U,GT3,T,4,4,at_home,services,course,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,3,3,3,4,3,3,7,11,12,12
GP,F,18,U,GT3,T,3,2,at_home,teacher,course,father,3,4,1,no,yes,yes,yes,yes,yes,yes,yes,5,3,3,1,2,1,0,11,11,12
GP,M,20,U,GT3,T,4,3,teacher,at_home,course,father,1,3,0,no,yes,no,yes,yes,yes,no,no,4,4,5,1,3,5,27,17,18,18
GP,F,18,R,GT3,T,4,2,services,other,home,mother,1,2,0,no,yes,no,no,no,yes,no,yes,3,4,4,2,2,5,5,9,9,10
MS,M,16,R,GT3,T,4,1,health,other,course,father,2,4,0,yes,yes,yes,yes,yes,no,yes,no,4,3,4,2,4,4,10,9,10,11
MS,M,17,R,LE3,T,4,1,teacher,other,home,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,4,3,2,2,2,4,4,12,12,13
GP,F,17,U,LE3,T,3,2,teacher,services,reputation,mother,1,2,1,no,no,yes,no,yes,yes,yes,yes,4,3,2,1,1,5,23,13,12,13
GP,M,17,U,GT3,T,2,2,other,other,other,father,1,3,3,no,no,no,no,yes,yes,yes,no,5,4,5,1,1,4,17,9,8,9
GP,M,18,U,GT3,T,3,1,other,other,course,mother,1,3,0,no,no,no,yes,yes,yes,yes,no,4,3,3,2,4,5,19,12,14,15
GP,F,20,U,LE3,T,2,4,other,services,other,other,2,1,0,no,no,no,yes,yes,yes,yes,yes,2,3,2,1,2,1,27,10,9,8
GP,F,20,U,LE3,T,3,4,teacher,other,other,mother,1,2,0,no,yes,no,no,no,yes,no,no,4,3,3,2,5,2,12,5,6,6
GP,F,17,U,LE3,T,4,4,health,services,course,father,1,2,0,yes,yes,no,no,no,yes,no,no,1,3,5,1,1,3,4,13,13,13
GP,F,15,U,GT3,T,3,4,at_home,other,course,mother,1,2,1,no,no,no,no,yes,yes,yes,no,4,3,3,4,1,4,29,12,11,10
GP,M,22,U,LE3,T,2,2,other,other,reputation,mother,2,2,0,yes,no,no,yes,yes,yes,yes,yes,4,2,3,2,1,5,0,9,10,9
GP,M,19,U,LE3,A,2,4,health,teacher,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,3,2,4,2,2,3,21,10,10,10
GP,M,15,U,LE3,T,3,1,services,other,home,father,2,1,0,no,no,yes,no,no,yes,yes,yes,3,4,3,4,2,3,17,8,8,7
GP,F,20,U,GT3,T,1,4,other,at_home,other,father,1,2,0,no,yes,yes,no,no,yes,yes,no,4,3,2,2,1,3,4,14,14,13
GP,F,19,R,LE3,T,4,4,at_home,other,course,father,1,1,0,no,yes,no,yes,no,yes,yes,yes,4,2,5,1,3,3,30,10,8,6
MS,F,17,U,GT3,T,2,3,services,at_home,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,4,5,1,2,5,5,11,12,0
GP,F,17,U,LE3,T,2,4,services,other,reputation,father,1,3,0,no,no,yes,no,yes,yes,yes,yes,3,2,4,2,1,5,26,14,13,14
GP,M,16,U,GT3,A,0,3,at_home,teacher,reputation,father,1,3,1,yes,no,yes,yes,no,yes,yes,no,4,4,4,1,2,2,24,11,10,0
GP,F,15,R,LE3,T,3,2,other,services,reputation,father,1,2,0,no,yes,no,yes,yes,yes,no,yes,1,3,2,2,3,5,28,13,13,14
GP,M,16,U,GT3,T,3,2,teacher,teacher,reputation,mother,3,1,0,yes,yes,no,yes,yes,yes,yes,yes,3,2,5,1,1,5,27,12,12,11
GP,F,19,U,GT3,T,2,3,at_home,other,home,father,1,1,3,no,yes,no,yes,yes,yes,yes,yes,3,3,2,1,1,5,15,7,7,6
GP,M,15,U,GT3,T,1,1,at_home,other,home,father,2,2,0,no,no,no,yes,yes,yes,yes,no,3,1,4,1,2,2,11,12,11,11
GP,F,16,U,GT3,T,2,3,at_home,other,home,mother,1,1,1,no,yes,no,no,yes,yes,yes,no,4,4,5,5,3,4,19,11,10,0
MS,M,16,U,LE3,T,2,4,services,other,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,2,4,2,17,13,14,14
MS,M,17,U,GT3,T,3,1,health,teacher,other,father,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,2,4,4,2,5,22,7,8,7
MS,M,20,R,GT3,T,3,4,teacher,services,reputation,mother,3,3,0,no,yes,no,yes,no,yes,no,no,2,3,4,4,1,5,26,10,11,0
GP,F,16,U,GT3,T,2,4,other,teacher,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,1,4,4,16,11,10,11
GP,F,16,U,GT3,A,2,4,other,services,reputation,mother,1,1,0,no,no,yes,yes,yes,yes,yes,yes,4,2,4,1,5,3,20,12,13,12
GP,M,18,R,GT3,T,4,4,health,services,home,father,1,3,2,no,yes,yes,yes,yes,yes,yes,no,3,3,2,2,3,3,30,14,13,0
GP,M,17,U,GT3,T,3,3,at_home,at_home,course,father,1,2,0,no,no,no,no,yes,yes,no,yes,5,3,3,3,5,2,2,9,9,9
GP,F,16,U,GT3,T,3,4,teacher,services,home,mother,1,1,0,no,yes,yes,yes,yes,yes,yes,no,4,4,2,1,3,5,16,14,12,10
GP,M,17,U,LE3,T,1,3,other,health,reputation,father,2,2,0,no,yes,yes,yes,yes,yes,yes,no,5,3,3,5,3,3,25,10,11,11
GP,F,15,U,GT3,A,3,1,other,health,reputation,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,4,4,1,2,1,22,16,17,19
MS,F,16,R,GT3,T,0,2,at_home,health,other,mother,1,3,0,yes,no,no,no,yes,no,yes,no,4,4,5,1,2,5,5,18,18,18
GP,M,17,U,LE3,T,3,3,health,other,reputation,father,2,1,0,yes,no,yes,no,no,no,yes,no,3,3,3,2,1,4,27,6,8,8
GP,M,17,R,GT3,A,4,2,teacher,other,home,other,1,2,1,no,no,yes,yes,yes,yes,yes,no,4,4,3,1,4,5,7,9,8,9
GP,F,20,U,LE3,T,2,3,health,other,reputation,father,1,2,3,no,yes,yes,no,yes,no,yes,yes,3,4,3,1,5,1,7,0,0,0
GP,M,16,U,GT3,A,1,3,health,at_home,other,father,1,1,0,yes,yes,no,yes,yes,yes,yes,yes,5,3,5,1,3,4,18,6,6,6
